ciudad,distrito,barrio,precio_m2_barrio,precio_m2_distrito
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Usera,12 de Octubre-Orcasur,2.96,2.4431249785407725
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
Madrid,Carabanchel,Abrantes,2.0463666666666667,2.526469902912621
